Epoch EpRet/Mean EpRet/Std EpRet/Min EpRet/Max EpCosts/Mean EpCosts/Std EpCosts/Min EpCosts/Max EpLen/Mean EpLen/Min EpLen/Max Values/V/Mean Values/V/Min Values/V/Max Values/Adv/Mean Values/Adv/Min Values/Adv/Max Values/C/Mean Values/C/Min Values/C/Max Loss/Pi Loss/Value Loss/DeltaPi Loss/DeltaValue Loss/Cost Loss/DeltaCost Entropy KL Misc/StopIter Misc/Seed PolicyRatio LR Misc/ExplorationNoiseStd TotalEnvSteps Time FPS
1 -4.2262316385904946 1.8907092703541852 -7.6209183 -0.0829626 16.733333333333334 27.709122012585194 0.0 122.0 1000.0 1000.0 1000.0 0.15204700520833334 -0.1710166 0.45556006 6.103515625e-09 -2.838445 2.95737 -0.20579308268229166 -0.4480679 0.17986195 -1.1444092340440193e-09 0.0353882871568203 -0.0041851261630654335 -0.03239831700921059 3.1130754947662354 -1.3317773342132568 0.7436313033103943 0.002157058799639344 80.0 0 0.99904465675354 0.0003 0.508999994180536 30000 35 846
2 -2.958031717936198 1.3851897931112014 -4.9695487 0.85386896 11.8 20.479910284481637 0.0 71.0 1000.0 1000.0 1000.0 0.06874267578125 -0.080347106 0.39532042 -5.4931640625e-08 -3.5622778 3.6619692 0.11763651529947916 -1.7663792 13.079434 5.737940611538761e-08 0.006694996729493141 -0.019683973863720894 -0.005004442296922207 2.17950177192688 -1.0453834533691406 0.741668701171875 0.006362506188452244 80.0 0 0.9942903518676758 0.00029939999999999996 0.5080020093473719 60000 71 833
3 0.036391290028889973 1.2031325567098994 -2.259338 2.8111675 99.8 157.9595742059763 0.0 601.0 1000.0 1000.0 1000.0 0.05806524658203125 -0.18657896 0.4737925 9.1552734375e-09 -3.5229688 20.035955 0.7484061197916667 -3.0754797 16.783873 1496.0 0.0036633049603551626 -2.6378173828125 -0.0014753076247870922 24.002185821533203 -16.652204513549805 0.7397021055221558 2.089218854904175 23.0 0 0.8486621379852295 0.0002988 0.5070039867303798 90000 687 48
4 -1.4285808563232423 1.4143058553401893 -4.680461 0.9357003 22.9 23.085853690626212 0.0 72.0 1000.0 1000.0 1000.0 -0.053292399088541664 -0.32853636 0.52221876 1.52587890625e-09 -2.8306665 5.4163465 1.5987796875 -5.831095 25.718723 -1.3351439953623867e-09 0.01621011458337307 0.004238148685544729 -0.011854645796120167 5.294475078582764 -3.7758734226226807 0.7377318143844604 0.004012465476989746 80.0 0 0.9962345957756042 0.0002982 0.5060059945689283 120000 729 704
5 -0.672097651163737 1.9495572883620191 -4.2856107 4.545811 28.3 28.76705336622088 0.0 78.0 1000.0 1000.0 1000.0 -0.04673572591145833 -0.5119409 0.6878374 1.0172526041666666e-08 -2.6934094 6.7760205 1.417175390625 -2.7092774 19.664248 66.0 0.011842451058328152 -0.5450363159179688 -0.008555330336093903 4.808586120605469 -3.3274176120758057 0.7357575297355652 0.19034089148044586 80.0 0 0.9490686058998108 0.00029759999999999997 0.5050080103088117 150000 764 866
6 -0.4537616411844889 1.9277227657114124 -4.242286 3.6788 21.2 36.231112177013465 0.0 163.0 1000.0 1000.0 1000.0 -0.031843046061197915 -0.5949381 0.7050056 -5.086263020833333e-09 -4.48399 14.397395 1.1351397135416668 -3.0627034 25.157894 5.022684934630206e-09 0.007198184262961149 -0.003573258640244603 -0.003049638355150819 3.895456552505493 -3.214933395385742 0.73377925157547 0.001888316124677658 80.0 0 0.9991632699966431 0.00029699999999999996 0.504010011618452 180000 798 874
7 -0.5263703982035319 1.4599854330093878 -3.3548226 2.1470242 33.166666666666664 37.94213316024812 0.0 118.0 1000.0 1000.0 1000.0 -0.046528629557291666 -0.7579609 0.8372479 1.4241536458333333e-08 -4.142152 11.604437 1.6786063802083333 -2.6360738 22.842512 163.33334350585938 0.006003545597195625 -30.173828125 -0.002814004896208644 4.976428985595703 -3.8943002223968506 0.7317973375320435 1.4821314811706543 80.0 0 0.8695303201675415 0.0002964 0.5030120063706592 210000 833 868
8 -3.5605089823404947 2.400196364105033 -8.690242 0.30512372 8.6 15.980404871083524 0.0 60.0 1000.0 1000.0 1000.0 -0.1281343505859375 -0.8282525 1.0806574 8.138020833333334e-09 -5.0683804 3.4493043 0.7671370442708333 -3.2854545 25.247395 -3.2424927187690855e-09 0.021713195368647575 0.3647838234901428 -0.01400062721222639 1.3511673212051392 -1.1272557973861694 0.7298110127449036 1.876980185508728 80.0 0 0.8581340312957764 0.0002958 0.5020140024227473 240000 867 872
9 0.8350621541341146 1.34718029223515 -0.74133456 5.16814 106.96666666666667 98.51446594282487 0.0 332.0 1000.0 1000.0 1000.0 -0.17719493815104168 -1.2197497 0.8605975 -4.9591064453125e-09 -3.134774 9.004772 6.9213046875 -3.0095556 29.200241 1639.3333740234375 0.046323928982019424 -0.2813720703125 -0.041045770049095154 19.98465347290039 -14.761425971984863 0.7278212904930115 0.06122174486517906 80.0 0 0.9689683318138123 0.00029519999999999997 0.5010160076164407 270000 902 877
10 1.7843292236328125 2.162969907887853 -1.0578003 7.122127 96.26666666666667 65.02765237125408 0.0 234.0 1000.0 1000.0 1000.0 -0.1094048828125 -0.9661523 1.2437143 -4.069010416666667e-09 -3.6852953 13.808384 8.197819270833334 -1.946836 26.86109 1425.3333740234375 0.028983019292354584 -2.064697265625 -0.018946101889014244 13.162896156311035 -8.30668830871582 0.7258272767066956 2.0512237548828125 52.0 0 0.8438031077384949 0.00029459999999999995 0.5000179999743863 300000 936 880
