Epoch EpRet/Mean EpRet/Std EpRet/Min EpRet/Max EpCosts/Mean EpCosts/Std EpCosts/Min EpCosts/Max EpLen/Mean EpLen/Min EpLen/Max Values/V/Mean Values/V/Min Values/V/Max Values/Adv/Mean Values/Adv/Min Values/Adv/Max Loss/Pi Loss/Value Loss/DeltaPi Loss/DeltaValue Entropy KL Misc/StopIter Misc/Seed PolicyRatio LR Misc/ExplorationNoiseStd TotalEnvSteps Time FPS
1 -0.18211539 0.90968597 -1.7151725 2.0565515 41.714287 105.98647 0.0 542.0 1000.0 1000.0 1000.0 0.16552089 -0.0907456 0.36314106 -0.028907793 -0.3359869 1.0088272 0.028907795 0.011541483 -0.0006652372 -0.009032825 0.74363124 0.002479586 80.0 2 0.9972249 0.0003 0.508999994180536 30000 8 3406
2 0.7623353 1.2598478 -1.828581 4.1400394 76.85714 112.88639 0.0 495.0 1000.0 1000.0 1000.0 0.06806274 -0.42537022 0.6173744 -0.00026092306 -0.2777 1.1412717 0.00026092347 0.007748346 -0.0012319412 -0.006605296 0.7416687 0.0043342607 80.0 2 0.99570906 0.0003 0.5080020093473719 60000 17 3518
3 0.9276299 1.0583274 -1.6844013 2.916716 42.607143 53.287853 0.0 196.0 1000.0 1000.0 1000.0 0.08664854 -0.33060318 0.8736534 -0.0035312627 -0.38828176 0.92926323 0.0035312625 0.0055757677 -0.0010232411 -0.00461776 0.73970217 0.004192583 80.0 2 0.9955745 0.0003 0.5070039867303798 90000 26 3254
4 1.5853328 1.7899702 -0.03383335 7.105659 121.39286 135.04083 0.0 526.0 1000.0 1000.0 1000.0 0.13448605 -0.3196645 0.9317643 0.0033214833 -0.39066663 1.4968572 -0.0033214837 0.007230758 -0.00097448914 -0.0055678985 0.7377318 0.003466304 80.0 2 0.997898 0.0003 0.5060059945689283 120000 36 2887
5 2.2463777 1.5220821 0.15956885 5.482353 52.214287 78.88389 0.0 342.0 1000.0 1000.0 1000.0 0.21026205 -0.34301218 1.4146934 0.0014488198 -0.38574362 1.302202 -0.0014488201 0.008824317 -0.0010283155 -0.0056801164 0.7357575 0.0037586107 80.0 2 0.9973092 0.0003 0.5050080103088117 150000 47 2807
6 3.2156508 2.5756404 0.07018534 8.924782 108.60714 142.76663 0.0 629.0 1000.0 1000.0 1000.0 0.22486237 -0.24211267 1.4203944 0.010710636 -0.41069755 1.9994992 -0.010710636 0.014164375 -0.001424627 -0.00959233 0.73377925 0.0036022244 80.0 2 0.9972756 0.0003 0.504010011618452 180000 58 2838
7 4.12676 3.0361605 -0.25616926 11.631594 106.46429 124.89723 0.0 564.0 1000.0 1000.0 1000.0 0.2511926 -0.36894357 1.602606 0.024611047 -0.52917224 2.0080235 -0.024611047 0.020534763 -0.0019079125 -0.015207428 0.7317974 0.003172473 80.0 2 1.0008 0.0003 0.5030120063706592 210000 68 2915
8 4.705129 3.067179 -1.6049976 10.972622 68.82143 68.00686 0.0 312.0 1000.0 1000.0 1000.0 0.2951998 -0.33676422 1.6707431 0.026987545 -0.64229065 1.7592844 -0.026987545 0.022964032 -0.002098004 -0.017049236 0.729811 0.0030898647 80.0 2 1.0002742 0.0003 0.5020140024227473 240000 82 2136
9 4.8288956 3.7099562 -3.4836638 11.709031 76.89286 75.3612 0.0 317.0 1000.0 1000.0 1000.0 0.3573066 -0.40964276 1.9380084 0.023577286 -0.6412964 1.9580103 -0.023577288 0.028147846 -0.0025313275 -0.0205341 0.7278213 0.0034900992 80.0 2 0.9994678 0.0003 0.5010160076164407 270000 100 1703
10 8.513529 3.6251338 0.6683959 16.948298 93.35714 100.687706 0.0 506.0 1000.0 1000.0 1000.0 0.5185807 -0.5266684 2.0225337 0.053430032 -0.8275444 2.2366338 -0.053430032 0.04159777 -0.0034981645 -0.031661235 0.7258273 0.003397671 80.0 2 1.0014306 0.0003 0.5000179999743863 300000 117 1696
